Date,BOVESPA OPEN,DJIA Open,NIKKEI225,ShanghaiComposite Open,Stoxx Europe 50,CAC40 Open,TelAvivOpen,IPCMexicoOpen,MervalAregentinaOpen,CanadaTSXOpen,ASXAustraliaOpen,DAXOpenGermany,RTSIRussianOpen,OMXCopenhagenOpen,KopsiKoreaOpen,TaiwanTWIIIndex,IBEXSpainIndex,ATX Austria,SwissMarketIndex
1/20/00,17487,11356.25977,19008.01,1999.088989,4778.71,5713.040039,520.42,7172.290039,581.75,8697.700195,3112.5,7095.97998,192.16,254.72,927.119995,9175.269531,11047.59961,1138.099976,7372.5
1/21/00,17188,11251.94043,18878.09,1994.422974,4719.29,5656.100098,514.72,7037.259766,578.830017,8755.599609,3073.399902,7103.700195,202.14,257.21,928.549988,9183.55957,10969.29981,1142.329956,7180.700195
1/24/00,17049,11010.95996,19056.71,1998.244995,4718.76,5687.359863,512.38,6890.830078,570.119995,8752.099609,3069.699951,6987.589844,194.51,261.48,917.929993,9327.980469,10901.5,1158.040039,7260
1/26/00,16972,11025.84961,18895.53,1990.149048,4653.61,5601.180176,489.12,6855.839844,568.169983,8467.799805,3048.699951,6928.080078,183.76,256.22,909.119995,9412.240234,10923.59961,1165.550049,7082.799805
1/27/00,17114,11035.54981,19111.19,1999.442017,4721.03,5636.609863,493.9,6885.390137,563.5,8632.5,3051.399902,6838.049805,182.3,257.04,896.340027,9469.740234,11084.2002,1158.469971,7014.200195
1/28/00,17150,11024.91992,19209.72,2017.457031,4786.82,5671.640137,505.58,6920.75,583.919983,8675.900391,3064.600098,6983.419922,188.47,255.87,888.27002,9684.450195,11206.59961,1162.849976,7025.799805
1/31/00,16744,10735.76953,19434.78,2014.113037,4781.94,5743.200195,513.89,6853.709961,579.789978,8588,3080.199951,7128.009766,181.84,256.97,922.73999,9627.919922,10960,1179.280029,7125.899902
2/1/00,16389,10937.74023,19539.7,2016.144043,4684.48,5677.790039,529.76,6649.97998,568.359985,8428.099609,3072.300049,7054.240234,172.31,250.82,924.830017,9653.240234,10840,1188.01001,6988.299805
2/2/00,16546,11037.63965,19423.38,2027.012939,4792.04,5700.870117,534.11,6585.759766,565.559998,8496.299805,3110.300049,6841.120117,171.29,252.64,955.440002,9829.679688,10970,1181.790039,6985.200195
2/3/00,16892,11010.48047,19578.91,2030.78894,4902.12,5814.259766,540.66,6733.77002,575.429993,8643.299805,3142.399902,7063.569824,168.92,257.15,929.690002,10137.24023,11208.90039,1178.040039,7094.700195
2/4/00,17471,11014.37012,19786.42,2032.937012,5046.12,6025.839844,537.61,6771.419922,577.070007,8828.299805,3118.699951,7175.870117,173.23,263.21,950.26001,10028.33984,11544.09961,1175.189941,7115.100098
2/7/00,17937,10965.96973,19763.13,2037.468018,5119.79,6197.399902,536.89,7043.740234,590.309998,9014,3136.899902,7355.689941,178.39,264.16,953.22998,10171.79981,11580.09961,1171.55,7233.100098
2/8/00,18249,10904.25977,19945.43,2025.182007,5041.08,6276.470215,539.23,7237.609863,599.130005,9207.5,3134.600098,7450.790039,178.13,265.24,977.070007,10152.45996,11506.79981,1172.109985,7147.200195
2/9/00,18759,10948.82031,19868.88,2042.744995,5176.17,6252.310059,536.35,7594.879883,608.690002,9302.200195,3149.899902,7295.609863,186.25,270.28,967.530029,9993.629883,11851.09961,1169.359985,7162.100098
2/10/00,18367,10697.91992,20007.77,2051.654053,5191.79,6390.790039,539.84,7583.830078,623.409973,9404,3192.300049,7566.680176,193.24,268.28,966.359985,10010.87012,11939.5,1177.530029,7147.799805
2/11/00,18635,10638.63965,19710.02,2065.304932,5174.35,6212.560059,549.08,7471.140137,620.059998,9309.599609,3167.300049,7617.069824,189.33,266.12,990.109985,10109.84961,12133.79981,1177.069946,6986.399902
2/14/00,18083,10431.65039,#N/A,2067.783936,5195.67,6263.439941,547.99,7726.379883,640.630005,9295.5,3122.199951,7724.359863,187.61,267.98,932.940002,10311.26953,12432.59961,1180.359985,7016.100098
2/15/00,17818,10520.15039,19556.46,2065.935059,5166.08,6241.910156,548.06,7623.740234,637.299988,9301.400391,3152.300049,7569.009766,187.29,267.18,916.890015,10165.24023,12458.59961,1185.310059,6938.600098
2/16/00,17921,10711.82031,19367.83,2079.069092,5043.33,6286.009766,563.55,7557.040039,633.02002,9338.900391,3150.399902,7636.410156,179.18,265.8,881.030029,9853.160156,12165.09961,1183.26001,6934.200195
2/17/00,18116,10565.75977,19599.18,2078.485107,5063.73,6160.419922,559.01,7513.910156,630.700012,9295.599609,3140.800049,7401.259766,180.26,274.16,869.349976,9738.19043,12235.09961,1175.180054,6883.399902
2/18/00,17979,10514.57031,19791.4,2086.809082,5114.47,6040,562.68,7603.220215,629.840027,9531,3114.899902,7478.319824,182.26,275.48,900.710022,9725.299805,12326.7002,1170.099976,6939.299805
2/21/00,17626,10219.83008,19789.03,2093.63208,5079.59,6166.120117,570.3,7538.810059,630.210022,9506.200195,3114.899902,7584.390137,179.82,279.14,864.609985,9620.919922,12292.79981,1172.209961,7077.399902
2/22/00,17698,10294.82031,19543.75,2095.37793,5033.33,5979.129883,574.44,7345.890137,617.98999,9295.5,3097,7568.339844,176.63,277.39,844.109985,9525.650391,12260.29981,1169.199951,6991.799805
2/23/00,17489,10242.48047,19390.58,2112.01709,5024.05,5986.850098,582.5,7315.930176,621.950012,9287.599609,3101.100098,7580.379883,178.37,274.97,866.140015,9572.240234,12119.29981,1172.130005,6967.899902
2/24/00,17846,10090.76953,19519.55,2064.044922,5086,6038.859863,568.45,7235.680176,621.669983,9247.5,3099.600098,7619.830078,181.13,277.97,874.530029,9781.269531,12312.29981,1163.449951,7080.899902
2/25/00,17784,9854.660156,19571.44,2058.529053,5117.41,6106.319824,561.53,7462.310059,627.159973,9391.700195,3111.199951,7696.919922,182.88,276.36,856.059998,9557.660156,12456.2002,1172.709961,7135.600098
2/28/00,17787,10039.58008,19817.88,2073.715088,5208.87,6171.569824,575.93,7410.970215,636.929993,9193.700195,3106.699951,7668.700195,174.21,276.27,850.359985,9519.799805,12690.90039,1181.660034,7117.299805
2/29/00,17545,10128.11035,19720.1,2092.12207,5126.33,6181.049805,566.54,7304.669922,636.190002,9199.200195,3124.600098,7732.899902,164.32,268.5,843.309998,9340.490234,12499.7002,1180.439941,6975.5
3/1/00,17668,10135.44043,19959.52,2103.032959,5182.62,6167.040039,556.04,7339.220215,634.789978,9338.400391,3187.199951,7590.899902,170.93,267.3,864.780029,9413.570312,12585.79981,1182.51001,6966.700195
3/2/00,17966,10171.12012,20081.67,2107.019043,5235.14,6272.129883,544.62,7368.660156,631.76001,9317.900391,3219.800049,7645.299805,180.47,273,909.809998,9453.700195,12538.7002,1186.420044,6934.799805
3/3/00,18016,10358.95996,20065.11,2062.834961,5406.37,6319.22998,556.53,7618.049805,627.299988,9446.900391,3232.600098,7720.899902,184.8,280.53,907.559998,9706.019531,12709.59961,1185.160034,6988.899902
3/8/00,18617,10197.61035,19927.54,2009.151001,5450.22,6448.339844,552.61,8008.390137,639.659973,9573.099609,3214,7952.279785,189.93,287.11,907.01001,9229.490234,12745,1184.550049,7069.200195
3/9/00,18285,9800.69043,19796.35,1994.88501,5464.43,6554.950195,552.84,8114.390137,647.179993,9521.099609,3232.5,7960.089844,190.87,289.74,895.929993,8694.870117,12816.79981,1176.98999,7056.799805
3/10/00,18650,9855.290039,19944.24,2015.062012,5426.36,6507.259766,540.57,7966.839844,630.48999,9595.700195,3207.899902,7971.22998,197.33,292.56,922.710022,8794.299805,12667.2002,1182.949951,7078.600098
3/13/00,18279,10008.54981,19766.8,1955.499023,5364.52,6366.830078,538.75,8006.22998,617.780029,9414.900391,3188,8069.97998,197.332,291.42,902.309998,8357.629883,12668.29981,1181.47998,7019.100098
3/14/00,17595,9911.219727,19662.33,1929.296021,5352.88,6429.339844,537.55,8296.490234,617.919983,9330.299805,3189.300049,7984.209961,211.25,292.47,890.869995,8700.990234,12563.2002,1181.849976,6974.600098
3/15/00,17229,9957.669922,19750.4,1955.152954,5416.81,6543.189941,538.92,8320.950195,618.299988,9479.5,3185.899902,7952.509766,224.82,299.27,843.140015,8483.410156,12513.7002,1165.050049,6954.5
3/16/00,17397,9808.150391,19189.93,1963.270996,5254.41,6477.470215,525.03,8173.470215,609.359985,9292.099609,3178.699951,7977.060059,209.67,296.15,837.349976,8380.790039,12359.7002,1169.800049,6866.700195
3/17/00,17654,10139.58008,19141.84,1975.411987,5258.32,6331.220215,506.16,8008.859863,606.830017,9580,3159.699951,7695.790039,223.07,294.58,847.900024,9009.070312,12468.90039,1168.880005,6820.899902
3/20/00,17511,10629.98047,19078.6,1980.527954,5083.15,6242.790039,493.85,7835.689941,608.359985,9392.299805,3171.800049,7633.200195,222.4,285.4,864.359985,9198.450195,12279.5,1165.619995,6812
3/21/00,17528,10594.75,19253.23,1989.973999,5175.23,6217.620117,494.09,7988.160156,606.130005,9463.700195,3200.399902,7416.640137,222.48,289.7,862.679993,9571.280273,12260.90039,1157.51001,6962
3/22/00,18346,10680.24023,19566.32,1978.036987,5231.35,6439.830078,485.83,7980.109863,617.219971,9597.700195,3237.699951,7594.990234,218.88,298.77,850.909973,9531.910156,12369.79981,1156.790039,7309
3/23/00,18314,10916.95996,#N/A,1979.530029,5286.71,6328.040039,511.57,7986.22998,609.929993,9689.200195,3248.800049,7716.240234,215.85,299.64,869.880005,9919.75,12362.40039,1161.579956,7110.100098
3/24/00,18332,10884.37988,19602.36,1937.31897,5266.23,6320.120117,508.11,7930.02002,603.880005,9500,3276.399902,7865.47998,212.57,300.2,888.890015,9844.410156,12308.29981,1163.280029,7198.200195
3/27/00,18675,11107.4502,19733.59,1902.911987,5268.35,6401.450195,508.88,7782.390137,595.080017,9650.5,3248.800049,7827.560059,222.4,298.64,876.929993,9846.639648,12172.2002,1158.449951,7319.200195
