,Brazilian Bovespa,DJIA,Japan Nikkei,Shanghai Composite,Stoxx Europe 50,CAC40 Open,TelAvivOpen,IPCMexicoOpen,MervalAregentinaOpen,CanadaTSXOpen,ASXAustraliaOpen,DAXOpenGermany,RTSIRussianOpen,OMXCopenhagenOpen,KopsiKoreaOpen,Taiwan Index,IBEXSpainIndex,ATX Austria,SwissMarketIndex,CRUDE WTI PRICE,GOLD PRICE,COPPER SPOT PRICE,Euros per One DOllar,Yuan per One Dollar,Yen per One Dollar,Peso per One Dollar,Real per One Dollar,South Korea Won per One Dollar,IndiaRupee per One Dollar,SwissFranc per One Dollar,Malaysia per One Dollar,ThaiBhat per One Dollar,CanadianDol per One US Dollar,Singapore Dol per One Dollar,DanishKroner per One Dollar,NewZealandDollar per One Dollar,SriLanka Currency per One Dollar,Pound (GBP) per One Dollar,Norway currency per One Dollar,HongKong currency per One Dollar,SouthAfrica rand per One Dollar,Sweden currency per One Dollar,10YRUSTreasuryYield,2YearUSTreasury Yield,AAA Corporate Bond Yield -- US Moody's,CCC bond yield -- Bank of America US High Yield,Moody's BAA Yield,"BofA Merrill Lynch US Corporate BBB Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch US High Yield BB Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch Asia Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted","BofA Merrill Lynch Latin America Emerging Markets Corporate Plus Sub-Index Effective Yield?, Percent, Daily, Not Seasonally Adjusted",U.S.SpotSilverPrices,"LIBOR (1-month), based on Euro",Soybean Price,"5-Year, 5-Year Forward Inflation Expectation Rate","10-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted","5-Year Breakeven Inflation Rate, Percent, Daily, Not Seasonally Adjusted","Henry Hub Natural Gas Spot Price, Dollars per Million BTU, Daily, Not Seasonally Adjusted","Wilshire US Real Estate Investment Trust Price Index (Wilshire US REIT)?, Index, Daily, Not Seasonally Adjusted","Wilshire US Small-Cap Price Index?, Index, Daily, Not Seasonally Adjusted",Wilshire US Micro Cap,WilshireMidCapUS,CORNPRICESPOT,"TED Spread, Percent, Daily, Not Seasonally Adjusted","Bank Prime Loan Rate, Percent, Daily, Not Seasonally Adjusted","CBOE Volatility Index: VIX?, Index, Daily, Not Seasonally Adjusted","Economic Policy Uncertainty Index for United States, Index, Daily, Not Seasonally Adjusted",
GOLD PRICE,-0.857723103,-0.10519216,-0.061381762,-0.548398847,-0.099254586,-0.114247668,-0.46842967,-0.843305716,-0.645036038,-0.535067829,-0.440226704,-0.575803786,-0.584074251,-0.437408573,-0.771472847,-0.515260551,-0.446815904,-0.088440703,-0.252549214,-0.56297178,1,-0.680905268,0.580140818,0.906794543,0.460212317,-0.526374768,0.740986096,-0.106605642,-0.040438293,0.652088848,0.797710245,0.79663348,0.626206867,0.846066119,0.580554369,0.118763509,-0.876064756,-0.25640301,0.519357139,0.26201247,-0.568123343,0.207186052,0.420844602,-0.122055765,0.151848172,-0.366960896,-0.393625726,-0.49267895,-0.564578875,-0.446078307,-0.345023291,-0.310937765,0.088640298,-0.657833632,0.202135101,0.432060521,0.473812151,0.185326799,0.056920052,-0.260212762,0.089332477,-0.295054143,-0.778441836,-0.348116411,0.147626275,-0.504407411,0.018858634,GOLD PRICE
COPPER SPOT PRICE,0.853372072,0.656990602,0.578850234,0.600872603,0.63252622,0.647718644,0.490442414,0.896251898,0.833106567,0.852052875,0.823159775,0.87089265,0.835646703,0.804795957,0.886642109,0.783846831,0.825404865,0.618088971,0.738197877,0.566715279,-0.680905268,1,-0.595293247,-0.542769618,-0.198750677,0.251906636,-0.804763204,-0.434546948,-0.350576726,-0.536934103,-0.67981243,-0.751932585,-0.80457834,-0.70884664,-0.591133828,-0.49716616,0.718534082,-0.198113032,-0.602539596,-0.248193658,-0.048995189,-0.434885054,0.098453307,-0.371687667,-0.254781599,-0.187440769,-0.094314493,0.157111167,0.075375093,0.101823367,-0.259896007,0.464001627,0.160658908,0.488314364,0.199984303,0.190089791,0.160997446,0.108465514,0.51022835,0.754089057,0.545185377,0.769903536,0.708448955,0.178736647,0.392866618,-0.055194015,-0.201472929,COPPER SPOT PRICE
US Dollars to One Euro,0.6829938,0.290249605,0.259566581,0.340187846,0.266614805,0.291394179,0.510594612,0.717283249,0.43547278,0.704276385,0.525466875,0.626430918,0.69467843,0.58494026,0.571428595,0.30976667,0.496824529,0.09278119,0.313184741,0.831562586,-0.595828211,0.564302812,-0.991275148,-0.741255504,-0.490658248,0.209136153,-0.834689918,-0.245963768,-0.440269496,-0.931895662,-0.827796777,-0.849511374,-0.844112975,-0.89315897,-0.991679502,-0.687185485,0.701046342,-0.359421634,-0.89979233,-0.071269769,0.052355214,-0.835089048,-0.220428624,-0.01623205,-0.233232697,-0.042106392,0.053862924,0.351857551,0.302916975,0.324936209,-0.047868625,0.524286164,0.205864645,0.649051193,0.137242951,-0.036430605,-0.104499877,0.177770605,0.194623317,0.479242157,0.206793525,0.510309806,0.445623842,0.50984689,-0.025402435,0.268775596,-0.244271909,US Dollars to One Euro
EurToDol,-0.710260228,-0.332712563,-0.290393788,-0.361560515,-0.301846719,-0.326869733,-0.536317506,-0.74027027,-0.491167594,-0.717371431,-0.555202952,-0.653796293,-0.6899442,-0.60639743,-0.615477861,-0.37523816,-0.538795472,-0.169989103,-0.358653108,-0.801176167,0.580140818,-0.595293247,1,0.726321237,0.503850233,-0.24886685,0.849405976,0.256485601,0.433287095,0.933452651,0.796969555,0.853498435,0.866630201,0.884240769,0.999912186,0.705023124,-0.721660395,0.366469881,0.878562118,0.102458376,-0.010141722,0.835847846,0.193488537,0.060429272,0.27732652,0.068489079,-0.025494064,-0.35042125,-0.2856939,-0.328582056,0.1010989,-0.502718485,-0.174192365,-0.637164584,-0.146363309,0.01638794,0.082395223,-0.152767845,-0.22530741,-0.518295499,-0.264375124,-0.542369319,-0.45575745,-0.493018974,-0.01132142,-0.239083527,0.280381473,EurToDol
YuanToDol,-0.806894183,0.075882211,0.102786647,-0.409479293,0.09772111,0.071140712,-0.601111093,-0.770366071,-0.553504519,-0.458590847,-0.272983052,-0.447844799,-0.470651889,-0.325048467,-0.661249419,-0.340913848,-0.278775377,0.112385811,-0.055765384,-0.644894845,0.906794543,-0.542769618,0.726321237,1,0.692949158,-0.610550784,0.761883223,-0.24870887,-0.064787106,0.830463619,0.819316526,0.811693425,0.659769171,0.915765236,0.727360106,0.203181585,-0.876364641,-0.273373139,0.574192807,0.315864459,-0.559996045,0.319957115,0.56792266,-0.297422652,0.18587552,-0.430531541,-0.457230632,-0.568541792,-0.646060785,-0.546475352,-0.361804374,-0.223795838,0.197454063,-0.719388394,0.222162188,0.49958484,0.552304728,0.176376221,0.214374048,-0.15461587,0.195348959,-0.185645471,-0.664998754,-0.418363141,0.368601888,-0.6096607,0.10140509,YuanToDol
YenToDol,-0.478874956,0.336188056,0.525475573,0.012464213,0.46395153,0.440497057,-0.532700559,-0.385837152,-0.395188162,-0.015952109,0.167612529,0.011475835,0.027350974,0.122984147,-0.313752788,-0.129606171,0.144427316,0.305492043,0.322718199,-0.227350779,0.460212317,-0.198750677,0.503850233,0.692949158,1,-0.789315866,0.366889075,-0.522649544,-0.313320274,0.738809008,0.376095291,0.409209301,0.332872909,0.575824074,0.507186346,0.092206224,-0.571120564,-0.477321867,0.246435982,0.515105439,-0.323237827,0.114465063,0.710666677,-0.574110752,0.380606669,-0.38664087,-0.236420728,-0.216125489,-0.34466586,-0.235013843,-0.144450225,0.34053455,0.67523307,-0.470231434,0.144971201,0.311702587,0.342465826,0.303989966,0.506228161,0.138120596,0.329693169,0.126150926,-0.371417687,0.040504703,0.680539529,-0.362512535,0.010617259,YenToDol
PesoToDol,0.534558976,-0.276327246,-0.478779599,0.116952762,-0.378721809,-0.369621394,0.425903876,0.409534354,0.474866167,-0.069934364,-0.106280779,0.010402593,-0.103950257,-0.188562988,0.42138633,0.349485886,-0.033455426,-0.109710695,-0.212041139,-0.083188626,-0.526374768,0.251906636,-0.24886685,-0.610550784,-0.789315866,1,-0.212331972,0.665633932,0.577369328,-0.459996981,-0.166224865,-0.313349399,-0.132556659,-0.390497903,-0.251305191,0.254696379,0.638400037,0.654525035,0.076982189,-0.560696135,0.509806453,0.249499488,-0.612166922,0.445263587,-0.230764072,0.578121964,0.445387387,0.307899445,0.401416086,0.304722995,0.240253082,-0.39436215,-0.737252318,0.362747566,-0.297916937,-0.409621125,-0.405286098,-0.557117055,-0.510738978,-0.18633078,-0.34124293,-0.186288917,0.397792725,-0.159155928,-0.543729663,0.331778381,-0.009436652,PesoToDol
RealToDol,-0.842440479,-0.442542888,-0.461808842,-0.576126932,-0.462437184,-0.492964045,-0.633469425,-0.887725154,-0.707650407,-0.855311314,-0.720315319,-0.82102132,-0.812453153,-0.783587269,-0.821477041,-0.550411803,-0.703253026,-0.390385663,-0.577986985,-0.842013128,0.740986096,-0.804763204,0.849405976,0.761883223,0.366889075,-0.212331972,1,0.362737483,0.40460982,0.784684851,0.840201866,0.864715077,0.958785154,0.899739154,0.846234506,0.647682594,-0.774294065,0.235892453,0.815616856,0.211794926,-0.039350978,0.659648758,0.080840488,0.240277955,0.331370269,0.115636881,0.011937085,-0.364681594,-0.306635674,-0.326881493,0.126039304,-0.53158872,-0.179620141,-0.583712801,-0.135518582,0.034338989,0.101101514,-0.188449841,-0.376527059,-0.67991849,-0.407470743,-0.697091391,-0.672614043,-0.486873614,-0.204395768,-0.207293875,0.268983628,RealToDol
SouthKoreaWonToDol,-0.114347185,-0.787201595,-0.880510356,-0.298254831,-0.849915755,-0.854568388,0.040357318,-0.258006267,-0.213055373,-0.670413916,-0.731586931,-0.623999757,-0.644013572,-0.760504503,-0.26481785,-0.289916212,-0.670524235,-0.677744315,-0.770323934,-0.425741711,-0.106605642,-0.434546948,0.256485601,-0.24870887,-0.522649544,0.665633932,0.362737483,1,0.809582849,0.013477282,0.238475298,0.229223356,0.471884686,0.12016095,0.251827078,0.682233092,0.06528456,0.836044256,0.519469358,-0.349850746,0.646300673,0.616959868,-0.719469253,0.760776344,0.034521286,0.768158213,0.600747785,0.234196873,0.415212028,0.273421435,0.545936208,-0.635243007,-0.738116393,0.065519963,-0.488669301,-0.62318727,-0.600477502,-0.55850711,-0.900013583,-0.775086282,-0.804686521,-0.776531771,-0.099324172,-0.22974544,-0.847742968,0.463250024,0.145495771,SouthKoreaWonToDol
IndiaRupeeToDol,-0.186356669,-0.66578414,-0.680378211,0.028922666,-0.66940944,-0.663282883,0.045608709,-0.25887194,-0.135195162,-0.638799517,-0.617819028,-0.584580602,-0.633144142,-0.708441698,-0.24802483,-0.213229362,-0.517414761,-0.375220801,-0.517782969,-0.507864353,-0.040438293,-0.350576726,0.433287095,-0.064787106,-0.313320274,0.577369328,0.40460982,0.809582849,1,0.194417026,0.429097472,0.422101844,0.520941536,0.251303924,0.431659052,0.775256796,-0.02648759,0.808242986,0.635171322,-0.437450699,0.515365683,0.740907102,-0.442649032,0.461569328,0.052868776,0.60598947,0.457365764,0.12329086,0.260086864,0.145598685,0.421109249,-0.64057031,-0.731049571,-0.311346017,-0.401117763,-0.480740132,-0.453078261,-0.601938007,-0.647770316,-0.647888113,-0.606672822,-0.674933796,-0.043445044,-0.436167942,-0.537664223,0.22094435,0.191821865,IndiaRupeeToDol
SwissFrancToDol,-0.720134781,-0.105470034,-0.012604385,-0.295524621,-0.04247294,-0.070933064,-0.596350924,-0.719524385,-0.531218842,-0.557262576,-0.35959794,-0.491735037,-0.530658947,-0.417244031,-0.585640358,-0.309287945,-0.347469315,0.009716967,-0.143081922,-0.732520765,0.652088848,-0.536934103,0.933452651,0.830463619,0.738809008,-0.459996981,0.784684851,0.013477282,0.194417026,1,0.785385838,0.79752091,0.782878898,0.909566658,0.935091615,0.562517094,-0.772644111,0.080142065,0.790312671,0.238581393,-0.150171543,0.670157161,0.410779299,-0.183022669,0.323680467,-0.085271351,-0.10269673,-0.324668412,-0.342966571,-0.30752356,-0.007516618,-0.267781076,0.111530065,-0.633346598,-0.035683672,0.148689816,0.207141237,-0.002021639,0.011679163,-0.337667159,-0.049924771,-0.363919859,-0.538404839,-0.349250043,0.249848448,-0.324094481,0.169082634,SwissFrancToDol
MalaysiaToDol,-0.771784802,-0.305108883,-0.283128273,-0.430100095,-0.268893933,-0.28997447,-0.393219989,-0.810551541,-0.559109367,-0.735403923,-0.558590343,-0.697623478,-0.789002202,-0.659604361,-0.689330542,-0.410879334,-0.503184677,-0.06766784,-0.334153402,-0.831903044,0.797710245,-0.67981243,0.796969555,0.819316526,0.376095291,-0.166224865,0.840201866,0.238475298,0.429097472,0.785385838,1,0.916928842,0.812221542,0.932056687,0.797670548,0.542158883,-0.745709354,0.164855337,0.829138115,-0.026755992,-0.244157813,0.652848594,0.2170142,-0.056507391,0.122495296,-0.002972044,-0.131594005,-0.335082009,-0.349823792,-0.306498812,-0.091375342,-0.54542497,-0.254511679,-0.749403089,-0.019134041,0.163384547,0.219224457,-0.139584033,-0.200385595,-0.483447616,-0.14492128,-0.526721972,-0.686128516,-0.516839784,0.032136114,-0.374432516,0.124015171,MalaysiaToDol
ThaiBhatToDol,-0.878995486,-0.430501843,-0.352585647,-0.454330591,-0.376848056,-0.388637885,-0.402817763,-0.892359828,-0.665412073,-0.772059394,-0.664775801,-0.79158108,-0.798341247,-0.704343006,-0.808641948,-0.606578843,-0.641838559,-0.232954511,-0.444567263,-0.724144351,0.79663348,-0.751932585,0.853498435,0.811693425,0.409209301,-0.313349399,0.864715077,0.229223356,0.422101844,0.79752091,0.916928842,1,0.84392349,0.925752438,0.853851653,0.555712877,-0.83527278,0.207486429,0.784054205,0.031023409,-0.218036751,0.658101961,0.178838627,0.03529027,0.16819404,-0.018467225,-0.149155421,-0.393094101,-0.364281372,-0.363753637,-0.033136545,-0.538591525,-0.208295439,-0.814672835,-0.034417004,0.144416205,0.201210031,-0.020958919,-0.231888252,-0.553495888,-0.245107663,-0.587519149,-0.681597316,-0.515108372,-0.041823042,-0.346108199,0.199777803,ThaiBhatToDol
CanadianDolToDol,-0.800908169,-0.533123143,-0.532863327,-0.506800598,-0.52889813,-0.553414175,-0.606367476,-0.847757519,-0.705984077,-0.874487616,-0.750646159,-0.837365966,-0.831786839,-0.820048235,-0.785140466,-0.560060111,-0.725978833,-0.446738433,-0.609312764,-0.849348173,0.626206867,-0.80457834,0.866630201,0.659769171,0.332872909,-0.132556659,0.958785154,0.471884686,0.520941536,0.782878898,0.812221542,0.84392349,1,0.858414653,0.86368906,0.753874918,-0.717176674,0.368678074,0.860230053,0.176972535,0.128962758,0.760531697,-0.031530401,0.28572787,0.302176588,0.258695281,0.134806263,-0.25650267,-0.185059279,-0.228985812,0.252180953,-0.551456027,-0.241911878,-0.565631206,-0.235770299,-0.098694703,-0.028780141,-0.231957265,-0.45681668,-0.741312203,-0.502632096,-0.755127815,-0.600706031,-0.473305151,-0.273393889,-0.109134274,0.284511728,CanadianDolToDol
SingaporeToDol,-0.847734748,-0.222807432,-0.201392353,-0.509833883,-0.200967984,-0.231684076,-0.585466593,-0.871054454,-0.640574944,-0.712279202,-0.534233902,-0.675148538,-0.719666449,-0.60138384,-0.74706738,-0.44617187,-0.514550812,-0.117292273,-0.319143898,-0.819696756,0.846066119,-0.70884664,0.884240769,0.915765236,0.575824074,-0.390497903,0.899739154,0.12016095,0.251303924,0.909566658,0.932056687,0.925752438,0.858414653,1,0.884140049,0.508260163,-0.860832887,0.069156239,0.812156519,0.178848192,-0.283747584,0.622309688,0.3234284,-0.053046921,0.230981935,-0.114098479,-0.192057061,-0.442964454,-0.451202992,-0.412365505,-0.115913787,-0.44374233,-0.055543136,-0.717261153,0.01306927,0.226162452,0.286718278,-0.017608925,-0.118122023,-0.4537382,-0.113891334,-0.485484096,-0.701126016,-0.471784253,0.092003931,-0.409376884,0.15676387,SingaporeToDol
DanishKronertoDol,-0.70963663,-0.329543056,-0.283657293,-0.355898752,-0.29615377,-0.320787537,-0.530416665,-0.738712052,-0.489714704,-0.71296066,-0.550963617,-0.650018325,-0.686706559,-0.601759797,-0.613110147,-0.373630865,-0.533977958,-0.162808565,-0.352200603,-0.798378435,0.580554369,-0.591133828,0.999912186,0.727360106,0.507186346,-0.251305191,0.846234506,0.251827078,0.431659052,0.935091615,0.797670548,0.853851653,0.86368906,0.884140049,1,0.703720615,-0.722448217,0.363377826,0.878213117,0.099466727,-0.012220039,0.83561914,0.197886058,0.052140156,0.276747865,0.067047962,-0.025907377,-0.34678464,-0.284269403,-0.325119879,0.099819847,-0.498713461,-0.170502815,-0.639164203,-0.14553869,0.018288495,0.084516848,-0.147610198,-0.219360694,-0.513810188,-0.259069527,-0.53814883,-0.456445391,-0.490945681,-0.003980259,-0.240719135,0.27678913,DanishKronertoDol
NewZealandToDollar,-0.425983993,-0.64027849,-0.571704577,-0.106282895,-0.58641662,-0.598401514,-0.217111621,-0.505777451,-0.426413356,-0.732258809,-0.651450527,-0.664283116,-0.658831708,-0.741921003,-0.453545301,-0.35737979,-0.57948505,-0.390074341,-0.552817373,-0.655695956,0.118763509,-0.49716616,0.705023124,0.203181585,0.092206224,0.254696379,0.647682594,0.682233092,0.775256796,0.562517094,0.542158883,0.555712877,0.753874918,0.508260163,0.703720615,1,-0.306800658,0.692281453,0.780470588,-0.159716888,0.561613001,0.86528372,-0.268817833,0.329029615,0.332139382,0.65131757,0.557959814,0.179806709,0.270802304,0.185364767,0.570652863,-0.469370456,-0.373559037,-0.315480988,-0.443616847,-0.458275926,-0.406236136,-0.477118298,-0.588614175,-0.756826502,-0.668727375,-0.76959135,-0.333066571,-0.2881733,-0.357133978,0.244732618,0.224146826,NewZealandToDollar
SriLanka currency,0.93001111,0.2362808,0.123573253,0.446315115,0.184687497,0.198297917,0.527223701,0.898697122,0.76818644,0.603726455,0.532522839,0.652480936,0.582226903,0.512565241,0.846329103,0.636203506,0.545385114,0.225760449,0.326071048,0.537206527,-0.876064756,0.718534082,-0.721660395,-0.876364641,-0.571120564,0.638400037,-0.774294065,0.06528456,-0.02648759,-0.772644111,-0.745709354,-0.83527278,-0.717176674,-0.860832887,-0.722448217,-0.306800658,1,0.129294321,-0.563907592,-0.281150559,0.357543018,-0.344028982,-0.357295582,0.053739627,-0.253014922,0.23958905,0.271628464,0.416651883,0.434159478,0.376491605,0.111149429,0.242114953,-0.160969716,0.646978585,-0.101072445,-0.2728813,-0.310595662,-0.219005769,0.017594677,0.396414543,0.091692638,0.417599634,0.741231627,0.310478817,-0.107137009,0.369225493,-0.13047252,SriLanka
PoundToDol,0.027950976,-0.664032628,-0.754217727,-0.117945163,-0.726035492,-0.728019712,0.111582596,-0.096724886,0.053366461,-0.535824338,-0.582376636,-0.47937762,-0.518171724,-0.596192691,-0.058973439,-0.100499309,-0.530444623,-0.469438152,-0.583039133,-0.400328126,-0.25640301,-0.198113032,0.366469881,-0.273373139,-0.477321867,0.654525035,0.235892453,0.836044256,0.808242986,0.080142065,0.164855337,0.207486429,0.368678074,0.069156239,0.363377826,0.692281453,0.129294321,1,0.522204951,-0.452974703,0.599789239,0.736663663,-0.651592985,0.625637774,-0.108821428,0.668359146,0.456121266,0.127868784,0.325313335,0.139374435,0.45262663,-0.669315177,-0.798641947,0.02018045,-0.399344365,-0.522559199,-0.508357789,-0.566323001,-0.756361884,-0.60716017,-0.663427501,-0.611309214,0.161293759,-0.340778985,-0.694878522,0.359673212,0.235298563,PoundToDol
Norway currency,-0.601006924,-0.434600143,-0.446364371,-0.323165011,-0.441623358,-0.463592205,-0.399784799,-0.676454449,-0.423066416,-0.793449572,-0.639918481,-0.704282106,-0.797264453,-0.726574649,-0.551376837,-0.287162898,-0.569505841,-0.221421122,-0.444664149,-0.904728299,0.519357139,-0.602539596,0.878562118,0.574192807,0.246435982,0.076982189,0.815616856,0.519469358,0.635171322,0.790312671,0.829138115,0.784054205,0.860230053,0.812156519,0.878213117,0.780470588,-0.563907592,0.522204951,1,-0.070533839,0.13070902,0.885010364,-0.02701217,0.197661943,0.1455687,0.279145713,0.151396613,-0.19870119,-0.143766873,-0.155378631,0.136112845,-0.632966254,-0.412699382,-0.525866537,-0.262696937,-0.131935156,-0.060606226,-0.372175995,-0.407407041,-0.61203169,-0.355337242,-0.64896173,-0.45394933,-0.541016954,-0.205448652,-0.138971086,0.165059329,Norway
HongKong dollar,-0.294316263,0.238107774,0.233062139,-0.169861508,0.196971886,0.186996629,-0.569416631,-0.193932168,-0.305195247,0.031979965,0.089098565,0.019180335,0.088015898,0.121033571,-0.230843343,-0.178734166,0.034690558,-0.04515024,0.059076435,0.01258861,0.26201247,-0.248193658,0.102458376,0.315864459,0.515105439,-0.560696135,0.211794926,-0.349850746,-0.437450699,0.238581393,-0.026755992,0.031023409,0.176972535,0.178848192,0.099466727,-0.159716888,-0.281150559,-0.452974703,-0.070533839,1,-0.157306592,-0.223112491,0.317682366,-0.168907226,0.194451089,-0.311732698,-0.231194541,-0.170309196,-0.243224464,-0.179409246,-0.055352957,0.344575295,0.569761291,-0.083744604,0.106281941,0.165455523,0.169648741,0.216087033,0.280954418,0.08156648,0.108244164,0.096322169,-0.164764655,0.178185799,0.238271834,-0.104092063,0.037911315,HongKong
SouthAfrica rand,0.221959962,-0.505030081,-0.484222899,0.219338186,-0.444835813,-0.439571161,0.165208923,0.162522194,-0.024712008,-0.184938326,-0.244822546,-0.132708922,-0.10661834,-0.285522712,0.1087609,-0.068328673,-0.200905681,-0.409396071,-0.355938423,-0.000793843,-0.568123343,-0.048995189,-0.010141722,-0.559996045,-0.323237827,0.509806453,-0.039350978,0.646300673,0.515365683,-0.150171543,-0.244157813,-0.218036751,0.128962758,-0.283747584,-0.012220039,0.561613001,0.357543018,0.599789239,0.13070902,-0.157306592,1,0.354080652,-0.6471843,0.415617961,0.152220227,0.867116748,0.820899883,0.632447915,0.738398016,0.613846669,0.801983423,0.010100501,-0.217328831,0.378117785,-0.638025423,-0.786366995,-0.748398625,-0.316322226,-0.534855497,-0.45914361,-0.67895316,-0.426880316,0.183760367,0.189798307,-0.488477293,0.669165514,0.084830222,SouthAfrica
Swedish currency,-0.391862197,-0.52504597,-0.530082689,-0.249534865,-0.499687804,-0.518238714,-0.222458823,-0.486137651,-0.267204624,-0.708239821,-0.590140905,-0.622361542,-0.704483633,-0.678847503,-0.36806066,-0.231815413,-0.532134503,-0.25366144,-0.456601289,-0.759874247,0.207186052,-0.434885054,0.835847846,0.319957115,0.114465063,0.249499488,0.659648758,0.616959868,0.740907102,0.670157161,0.652848594,0.658101961,0.760531697,0.622309688,0.83561914,0.86528372,-0.344028982,0.736663663,0.885010364,-0.223112491,0.354080652,1,-0.198857427,0.261115621,0.139649298,0.477563861,0.306272425,-0.06101063,0.051548463,-0.056153102,0.335192032,-0.635668298,-0.519526013,-0.411136818,-0.335531311,-0.276492017,-0.217025971,-0.394537353,-0.518725099,-0.633739139,-0.496614118,-0.651879501,-0.236785426,-0.48715367,-0.289729233,0.026688949,0.257023389,Sweden
10YRUSTreasury,-0.220393128,0.581428407,0.729610462,0.159001163,0.648338607,0.650603265,-0.295949054,-0.1188169,-0.040618641,0.265974311,0.411059297,0.277372751,0.24149593,0.392550229,-0.044739229,0.132142864,0.373092424,0.568892334,0.563492286,0.000173036,0.420844602,0.098453307,0.193488537,0.56792266,0.710666677,-0.612166922,0.080840488,-0.719469253,-0.442649032,0.410779299,0.2170142,0.178838627,-0.031530401,0.3234284,0.197886058,-0.268817833,-0.357295582,-0.651592985,-0.02701217,0.317682366,-0.6471843,-0.198857427,1,-0.634410724,0.421898438,-0.720028897,-0.432666733,-0.357899768,-0.512378801,-0.357167842,-0.512953732,0.294826513,0.551045656,-0.438660605,0.379910188,0.556919816,0.560371668,0.267671576,0.723276137,0.497518989,0.683086603,0.465508382,-0.147506255,-0.015513933,0.777669509,-0.54045739,-0.075065651,10YRUSTreasury
2YearUSTreasury,-0.057039788,-0.637954554,-0.824691696,-0.421993139,-0.809569473,-0.821252212,-0.141381534,-0.178517997,-0.17677086,-0.522189593,-0.660668379,-0.518188233,-0.426471857,-0.610717339,-0.276645658,-0.288509615,-0.668279219,-0.844540449,-0.784063078,-0.1901959,-0.122055765,-0.371687667,0.060429272,-0.297422652,-0.574110752,0.445263587,0.240277955,0.760776344,0.461569328,-0.183022669,-0.056507391,0.03529027,0.28572787,-0.053046921,0.052140156,0.329029615,0.053739627,0.625637774,0.197661943,-0.168907226,0.415617961,0.261115621,-0.634410724,1,0.087968325,0.404840644,0.322859238,-0.091290262,0.158161941,-0.040275469,0.346056009,-0.5649538,-0.619779272,0.280724598,-0.19819281,-0.399758973,-0.43405561,-0.482880269,-0.8185786,-0.61900865,-0.696420441,-0.605891234,0.037882086,-0.203101883,-0.956497186,0.381475406,0.262015784,2YearUSTreasury
AAA Corporate Bond Yield -- US Moody's,-0.301796382,-0.164461281,0.041124015,-0.045950247,-0.078328847,-0.081434016,-0.241928863,-0.310665226,-0.425042379,-0.203083682,-0.165522324,-0.19568886,-0.102318583,-0.185197627,-0.345193306,-0.310648406,-0.19776692,-0.218165837,-0.171331501,-0.062697354,0.151848172,-0.254781599,0.27732652,0.18587552,0.380606669,-0.230764072,0.331370269,0.034521286,0.052868776,0.323680467,0.122495296,0.16819404,0.302176588,0.230981935,0.276747865,0.332139382,-0.253014922,-0.108821428,0.1455687,0.194451089,0.152220227,0.139649298,0.421898438,0.087968325,1,0.10790995,0.466064417,0.125156667,0.146865054,0.140852934,0.32573747,0.129854757,0.300125837,-0.136655165,-0.189682319,-0.179662396,-0.152140028,-0.092668674,-0.060595288,-0.244014659,-0.21104214,-0.244591208,-0.310535106,0.174288054,0.04567383,0.161660081,0.120737088,AAA Corporate Bond Yield -- US Moody's
CCC -- Bank of America US High Yield,0.076414151,-0.669156922,-0.614846541,-0.004013356,-0.59729761,-0.594033863,0.293867919,-0.039812131,-0.15119458,-0.374081953,-0.43274767,-0.350650689,-0.341909438,-0.478797823,-0.051227369,-0.214957591,-0.367807234,-0.454010282,-0.523219014,-0.152787962,-0.366960896,-0.187440769,0.068489079,-0.430531541,-0.38664087,0.578121964,0.115636881,0.768158213,0.60598947,-0.085271351,-0.002972044,-0.018467225,0.258695281,-0.114098479,0.067047962,0.65131757,0.23958905,0.668359146,0.279145713,-0.311732698,0.867116748,0.477563861,-0.720028897,0.404840644,0.10790995,1,0.870436044,0.662774194,0.753532309,0.649939224,0.789246045,-0.164386827,-0.366343624,0.249552395,-0.656026037,-0.759978901,-0.70664902,-0.338678233,-0.687282311,-0.629382777,-0.774489481,-0.607005383,-0.075063544,0.138411054,-0.54881815,0.646552475,0.043568752,CCC -- Bank of America US High Yield
Moody's BAA Yield,0.122474349,-0.525798627,-0.379941348,0.133100581,-0.428450529,-0.420741556,0.287227355,0.029460455,-0.159925242,-0.216750167,-0.279637816,-0.192329347,-0.159160564,-0.312904662,-0.00296014,-0.166412195,-0.22675059,-0.38329687,-0.371189929,0.011550457,-0.393625726,-0.094314493,-0.025494064,-0.457230632,-0.236420728,0.445387387,0.011937085,0.600747785,0.457365764,-0.10269673,-0.131594005,-0.149155421,0.134806263,-0.192057061,-0.025907377,0.557959814,0.271628464,0.456121266,0.151396613,-0.231194541,0.820899883,0.306272425,-0.432666733,0.322859238,0.466064417,0.870436044,1,0.744439744,0.80113786,0.739786672,0.774098721,0.044228615,-0.130823695,0.288449619,-0.642690693,-0.754834176,-0.705329993,-0.30387595,-0.521105482,-0.488110402,-0.638863278,-0.471712346,-0.07493151,0.309592712,-0.396767106,0.674297399,-0.030983907,Moody's BAA Yield
